ID	PRISM_7122	PRISM_7147	PRISM_7150	PRISM_7153	PRISM_7184	PRISM_7238	PRISM_7406	PRISM_7408	PRISM_7421	PRISM_7445	PRISM_7486	PRISM_7547	PRISM_7658	PRISM_7662	PRISM_7744	PRISM_7759	PRISM_7791	PRISM_7843	PRISM_7847	PRISM_7855	PRISM_7858	PRISM_7860	PRISM_7861	PRISM_7862	PRISM_7870	PRISM_7874	PRISM_7875	PRISM_7879	PRISM_7899	PRISM_7904	PRISM_7906	PRISM_7908	PRISM_7909	PRISM_7910	PRISM_7911	PRISM_7912	PRISM_7938	PRISM_7941	PRISM_7947	PRISM_7948	PRISM_7955	PRISM_7971	PRISM_7989	PRISM_8095	PRISM_8226	PRISM_8244	PRISM_8264	PRISM_8283	PRISM_8332	PRISM_8336	PRISM_8361	PRISM_8374	PRISM_8377	PRISM_8406	PRISM_8452	PRISM_8462	PRISM_8466	PRISM_8467	PRISM_8475	PRISM_8483	PRISM_8485	PRISM_8496	PRISM_8523	PRISM_8534	PRISM_8537	PRISM_8550	PRISM_8564	PRISM_8565	PRISM_8573	PRISM_8577	PRISM_8589	PRISM_8591	PRISM_8592	PRISM_8624	PRISM_8629	PRISM_8675	PRISM_8683	PRISM_8746	PRISM_8749	PRISM_8753	PRISM_8754	PRISM_8758	PRISM_8764	PRISM_8765	PRISM_8774	PRISM_8776	PRISM_8783	PRISM_8784	PRISM_8788	PRISM_8789	PRISM_8794	PRISM_8800	PRISM_8802	PRISM_8806	PRISM_8807	PRISM_8841	PRISM_8843	PRISM_8847	PRISM_8878	PRISM_8892	PRISM_9126	PRISM_9148
PRISM_8592_89174	0	0	59	261	0	2	4	36	249	0	292	0	234	16	0	0	3	0	124	86	64	168	163	0	80	0	0	19	0	0	18	342	57	316	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	781	0	2	126	47	17	0	0	0	0	0	0	0	0	0	5	0	35	0	146	0	0	0	0	0	0	614	150	0	7	56	0	109	0	847	0	21	1829	1394	0	0	3	23	4	1	57	0	0	0
PRISM_8675_27417	0	3	6	10	0	47	2826	3	23	25	2	0	0	2	0	24	2	4	0	0	0	17	23	0	4	0	7	0	0	12	0	0	0	0	365	0	0	0	5	0	0	0	0	2	7	14	0	0	0	0	11	0	0	55	0	4	4	2	10	114	0	35	5	0	73	0	45	0	2	0	7	45	0	77	0	83	0	0	159	243	0	375	0	0	10	4	223	3	2	0	26	12	0	0	0	423	43	4	17	1	4	35
PRISM_8675_47091	0	0	0	5	2	44	4036	345	14	0	0	4	2	0	2	15	2	7	0	2	0	10	50	0	0	2	4	0	0	15	0	0	0	0	378	0	67	854	9	6	0	0	633	44	146	6	1	43	0	0	35	385	318	86	0	10	1	2	5	192	0	54	8	287	178	0	90	1	4	0	6	197	2	60	0	141	0	0	249	317	1	528	0	2	19	0	302	2	0	0	43	23	153	3	2158	654	61	0	35	2	3	52
PRISM_8683_00080	0	12	10	0	12	0	0	0	0	0	0	8	0	2	4	0	0	0	2	1	7	0	0	5	0	0	0	6	4	0	2	6	2	5	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	11	0	7	1	14	27	0	0	8	2	28	5	0	0	0	0	2	0	0	0	17	15
PRISM_8683_10800	0	1562	41	535	0	21	0	60	790	1	981	1	669	239	919	135	19	2	211	170	140	408	639	507	193	262	2	71	668	608	175	1264	121	711	313	289	366	0	2	499	633	1	0	0	0	325	4	1244	2521	0	1625	0	0	3316	0	1	500	95	0	1	1	0	3	0	0	0	1	4	8	113	0	2	646	0	2	0	2126	0	0	1416	388	0	77	145	650	655	327	1587	948	30	4006	2821	2	0	0	532	6	1	121	0	74	0
PRISM_8683_118138	21	237	10	3	11	4	0	1	3	1	166	0	114	3	52	19	10	0	5	1	22	55	171	66	36	51	0	1	5	148	29	75	0	16	0	10	65	2	0	75	225	0	0	0	0	3	1	237	64	0	247	0	0	1	0	0	0	63	7	0	0	0	0	0	0	0	2	0	3	38	20	25	102	1	0	0	248	0	1	4	124	0	38	77	183	135	60	7	6	0	485	535	0	0	319	186	2	0	0	0	55	29
PRISM_8683_118638	2	1670	95	359	1	17	0	91	1428	3	538	4	498	175	774	178	45	0	228	132	101	338	654	541	303	372	1	70	362	775	127	1095	134	141	485	577	310	0	1	443	735	0	5	4	1	375	0	2228	2474	0	2024	0	0	2953	1	0	482	60	35	2	0	2	2	0	0	0	2	0	13	110	90	0	606	0	0	0	4737	0	0	951	302	1	91	89	631	1150	438	1167	848	15	5250	1739	1	4	3	150	8	1	43	0	89	0
PRISM_8683_18907	0	0	0	13	4	0	0	0	0	0	0	1	9	4	61	0	135	42	12	3	4	39	0	14	2	5	0	8	15	0	14	40	21	0	7	3	0	0	0	0	11	0	0	0	0	29	0	40	23	0	23	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	43	0	0	2	0	0	13	0	0	0	23	0	0	0	42	0	25	14	18	43	0	96	51	0	0	2	0	0	0	18	26	0	25	0	1	0
PRISM_8683_23816	4	3842	248	1824	2	54	0	259	1851	12	2344	4	1732	577	2020	442	69	5	747	488	375	1179	2001	1403	599	918	7	217	1791	2365	448	3430	465	2401	961	1060	1019	3	0	1396	3076	6	4	0	3	1092	2	3985	5923	6	3793	2	5	8264	5	4	1514	354	123	6	2	4	2	3	0	2	2	11	56	343	231	0	1772	0	1	4	5358	9	9	4236	1109	0	249	415	2444	2950	1173	5220	2990	120	12961	9337	3	10	5	1511	23	9	323	0	201	0
PRISM_8683_27158	0	168	13	62	0	2	0	11	56	0	34	0	61	21	70	22	13	0	27	6	13	39	67	54	6	6	0	3	129	133	22	5	27	149	42	44	87	0	0	78	52	2	0	0	0	39	0	213	289	0	160	0	0	154	0	0	46	5	5	0	2	0	0	0	0	0	0	0	1	11	5	0	76	0	0	0	1050	0	0	154	50	0	4	1	22	78	42	261	121	3	513	326	0	1	0	173	0	1	10	0	8	0
