TID	familyID	evidence	value	rank	description	note
189	Cluster_321	priority_score	0.928019998027409	0.928019998027409	meta ranking based on multiple evidences	
190	Cluster_419	DNA_abundance	1280.711772715686	0.9280223619846262	ranking based on single evidence	
191	Cluster_419	DNA_prevalence	0.8921568627450981	0.9273235499650594	ranking based on single evidence	
192	Cluster_419	priority_score	0.927672824371826	0.927672824371826	meta ranking based on multiple evidences	
193	Cluster_1229	DNA_abundance	2115.1275349019616	0.9888190076869322	ranking based on single evidence	
194	Cluster_1229	DNA_prevalence	0.8627450980392157	0.8724668064290706	ranking based on single evidence	
195	Cluster_1229	priority_score	0.9270062182069719	0.9270062182069719	meta ranking based on multiple evidences	
196	Cluster_425	DNA_abundance	1316.304054274509	0.9433962264150944	ranking based on single evidence	
197	Cluster_425	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
198	Cluster_425	priority_score	0.9261400631184199	0.9261400631184199	meta ranking based on multiple evidences	
199	Cluster_650	DNA_abundance	1312.2667001862744	0.9426974143955276	ranking based on single evidence	
200	Cluster_650	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
201	Cluster_650	priority_score	0.9258031954995504	0.9258031954995504	meta ranking based on multiple evidences	
202	Cluster_459	DNA_abundance	1296.4405401764704	0.9378057302585604	ranking based on single evidence	
203	Cluster_459	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
204	Cluster_459	priority_score	0.9234379859515917	0.9234379859515917	meta ranking based on multiple evidences	
205	Cluster_264	DNA_abundance	1161.353760970588	0.8616352201257862	ranking based on single evidence	
206	Cluster_264	DNA_prevalence	0.9509803921568627	0.9909154437456325	ranking based on single evidence	
207	Cluster_264	priority_score	0.9217644225864692	0.9217644225864692	meta ranking based on multiple evidences	
208	Cluster_458	DNA_abundance	1333.888549215686	0.9517819706498952	ranking based on single evidence	
209	Cluster_458	DNA_prevalence	0.8725490196078431	0.8913347309573725	ranking based on single evidence	
210	Cluster_458	priority_score	0.9205671306646002	0.9205671306646002	meta ranking based on multiple evidences	
211	Cluster_295	DNA_abundance	1190.6477270490195	0.8770090845562544	ranking based on single evidence	
212	Cluster_295	DNA_prevalence	0.9215686274509803	0.9685534591194969	ranking based on single evidence	
213	Cluster_295	priority_score	0.9205108604278444	0.9205108604278444	meta ranking based on multiple evidences	
214	Cluster_667	DNA_abundance	1463.7184188137257	0.9741439552760307	ranking based on single evidence	
215	Cluster_667	DNA_prevalence	0.8627450980392157	0.8724668064290706	ranking based on single evidence	
216	Cluster_667	priority_score	0.9205061329514659	0.9205061329514659	meta ranking based on multiple evidences	
217	Cluster_559	DNA_abundance	1215.2567342843133	0.8867924528301887	ranking based on single evidence	
218	Cluster_559	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
219	Cluster_559	priority_score	0.9197612162510379	0.9197612162510379	meta ranking based on multiple evidences	
220	Cluster_74	DNA_abundance	1322.8166400392154	0.9482879105520615	ranking based on single evidence	
221	Cluster_74	DNA_prevalence	0.8725490196078431	0.8913347309573725	ranking based on single evidence	
222	Cluster_74	priority_score	0.918929709332691	0.918929709332691	meta ranking based on multiple evidences	
223	Cluster_362	DNA_abundance	1231.792647754902	0.8958770090845563	ranking based on single evidence	
224	Cluster_362	DNA_prevalence	0.9019607843137255	0.9416491963661775	ranking based on single evidence	
225	Cluster_362	priority_score	0.9181930174873089	0.9181930174873089	meta ranking based on multiple evidences	
226	Cluster_372	DNA_abundance	1245.9345522058825	0.9063591893780573	ranking based on single evidence	
227	Cluster_372	DNA_prevalence	0.8921568627450981	0.9273235499650594	ranking based on single evidence	
228	Cluster_372	priority_score	0.9167215276712515	0.9167215276712515	meta ranking based on multiple evidences	
229	Cluster_257	DNA_abundance	1269.8605957941174	0.9217330538085255	ranking based on single evidence	
