familyID	type	detail	cmp_type	prevalence	prevalence_case	prevalence_control	coef	stderr	pvalue	qvalue	log(FC)	Cohen's_d	mean(log)	mean_abundance	mean_abundance_case	mean_abundance_control	mean_prevalent_abundance	mean_prevalent_abundance_case	mean_prevalent_abundance_control
Cluster_928	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.7745098039215687	0.6617647058823529	1.0	-1.81191464470354	0.448584653767573	0.000111834783306966	0.000283552730725109	-0.9311014825660763	-1.418470109138124	-4.214442112133757	1269.1259860490197	839.0971820147059	2129.1835941176473	1638.6183617341774	1267.9690750444445	2129.1835941176473
Cluster_1152	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.7352941176470589	0.6176470588235294	0.9705882352941176	-2.139133015122	0.448682370198952	7.04536914862892e-06	4.18890954137123e-05	-0.8994109986213038	-1.238904395427441	-4.206134688263772	1249.5450625	840.8015790441176	2067.0320294117646	1699.3812850000002	1361.297794642857	2129.6693636363634
Cluster_740	MaAsLin2_DA-sig	up(CD_vs_nonIBD)	CD_vs_nonIBD	0.5686274509803921	0.7647058823529411	0.17647058823529413	2.20491657836231	0.389971722033817	1.78712074968871e-07	4.72773231930631e-06	3.1082614341210193	1.0264139529427905	4.20190016772215	495.8817321764707	727.7086956176471	32.22780529411765	872.0678738275864	951.6190635	182.62423
Cluster_163	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.696078431372549	0.5588235294117647	0.9705882352941176	-1.77984862199918	0.414198661717505	4.32965039574188e-05	0.000143739496538877	-1.005232125203265	-1.5835414693056198	-4.12352110446272	1062.2210248529414	673.2442137500001	1840.174647058823	1526.0076695070425	1204.7528035526318	1895.9375151515146
Cluster_1286	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.6666666666666666	0.5147058823529411	0.9705882352941176	-1.96483439444002	0.414180132787421	7.73829025305601e-06	4.33951178896866e-05	-0.8970448435144831	-1.395889189783024	-4.1203074523238685	658.2167319411764	443.4267743823531	1087.7966470588235	987.3250979117646	861.5148759428574	1120.7601818181818
Cluster_1243	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.6372549019607843	0.47058823529411764	0.9705882352941176	-1.90954364499379	0.382396306124829	2.84228759282905e-06	2.47833613277167e-05	-1.0742775079697167	-1.513863158663839	-4.102702709544637	659.5190433333333	401.3216091176471	1175.9139117647057	1034.9375756923077	852.8084193750001	1211.5476666666666
Cluster_1413	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.6666666666666666	0.5147058823529411	0.9705882352941176	-1.74281456771156	0.424077892327869	8.65884962125579e-05	0.000232747273654056	-0.9046377921668275	-1.4334543771686752	-4.093216644149652	852.9700476960784	572.2130274264705	1414.484088235294	1279.4550715441176	1111.7281675714285	1457.3472424242423
Cluster_1062	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.5	0.35294117647058826	0.7941176470588235	-1.8290204619196	0.367896666630437	3.10858037372546e-06	2.52225564937802e-05	-1.9572112999728277	-1.2839882927314568	-4.0864479971476015	426.92270911764695	140.8001526470588	999.1678220588236	853.8454182352939	398.9337658333333	1258.2113314814817
Cluster_984	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.7254901960784313	0.6029411764705882	0.9705882352941176	-1.74212033578149	0.415117200670211	6.29012960034749e-05	0.000187003852983304	-1.0352361269188535	-1.3269374087569934	-4.074519350421129	931.5315821764706	580.2213144411763	1634.1521176470587	1284.0029916486487	962.3182776097559	1683.6718787878788
Cluster_1214	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.7450980392156863	0.6323529411764706	0.9705882352941176	-1.94260499636727	0.44405391636422	3.23248718554021e-05	0.000116434676960264	-1.033388025997376	-1.765223901781136	-4.072781435142536	1252.9029473921564	781.288671088235	2196.1314999999995	1681.527639921052	1235.5262705581392	2262.6809393939393
